context_3,context_2,context_1,response
"Занятие вчера
На Среду - Task5 PIX Master
Запускаем робота из мастера, так же пробуем настроить работу 2х роботов через оркестратор в связке.
В файле данные для входа и подключения студии к Мастеру.
На сайте PIX Академии - есть курс по мастеру и документация.",Го в хелп рум,может есть кто уже раззобрался с мастером и может зайти в дс обьяснить ошибку?,А что не работает?
Го в хелп рум,может есть кто уже раззобрался с мастером и может зайти в дс обьяснить ошибку?,А что не работает?,"в задаче робот не выполняется
а в процессе
пишет"
может есть кто уже раззобрался с мастером и может зайти в дс обьяснить ошибку?,А что не работает?,"в задаче робот не выполняется
а в процессе
пишет",В логе что?
А что не работает?,"в задаче робот не выполняется
а в процессе
пишет",В логе что?,процесс завершен
"в задаче робот не выполняется
а в процессе
пишет",В логе что?,процесс завершен,"При попытке задать фильтр в проектах вылетает эта зверюга, не пробуйте пока это"
В логе что?,процесс завершен,"При попытке задать фильтр в проектах вылетает эта зверюга, не пробуйте пока это","У меня так было, но писало, что файл не находил"
,,,Причина нашлась
,,Причина нашлась,"у меня аналогично
а в чем причина?"
,,,"В архив надо помещать только файлы, а не папку"
,,"В архив надо помещать только файлы, а не папку",спасибо
,,,может кто знает чья задача
,,,просьба убрать чужих агентов
,,просьба убрать чужих агентов,Можно самому убрать.
,,,я так и сделал
,,я так и сделал,я подчистил
,,,не знал что чужих можно редактировать)
,,не знал что чужих можно редактировать),так хозяин один - Ярослав
,,,но уже увидел
,,но уже увидел,мы все под 1 пользователем
,,,я админ а вы под своим можете редактировать
,,я админ а вы под своим можете редактировать,"я по терминологии в электронике выразился: master (ведущий) - slave (ведомый). Master - ""хозяин"". (есть песня такая Metallica - Master of puppets😊)"
,,,"господа кто присутствует на вебинаре, не стесняйтесь поднимать руку и спрашивать
как раз Мастер в процессе изучения
там микрофон включать не забывайте когда вам дают право говорить"
,,"господа кто присутствует на вебинаре, не стесняйтесь поднимать руку и спрашивать
как раз Мастер в процессе изучения
там микрофон включать не забывайте когда вам дают право говорить",ок
,"господа кто присутствует на вебинаре, не стесняйтесь поднимать руку и спрашивать
как раз Мастер в процессе изучения
там микрофон включать не забывайте когда вам дают право говорить",ок,"Кстати тут много работодателей, засветитесь в нужном кругу!"
"господа кто присутствует на вебинаре, не стесняйтесь поднимать руку и спрашивать
как раз Мастер в процессе изучения
там микрофон включать не забывайте когда вам дают право говорить",ок,"Кстати тут много работодателей, засветитесь в нужном кругу!","Заканчиваем мучать коллег ребят:) время ограничено, давайте дадим слово клиентам платформы
все ребят к нам придут, спросите:)
это публичное выступление, про баги и пожелания разговариваем не тут
!!!"
ок,"Кстати тут много работодателей, засветитесь в нужном кругу!","Заканчиваем мучать коллег ребят:) время ограничено, давайте дадим слово клиентам платформы
все ребят к нам придут, спросите:)
это публичное выступление, про баги и пожелания разговариваем не тут
!!!","Robot.exe -f <путь\имя.pix>
но для активностей (на изображении активность с окном в hello1.pix) с окном сообщения выдаёт ошибку
hello2.pix не имеет активностей окон сообщений, но можно запустить свой процесс
список команд короткий"
,,,Нам насыпали лицензий для очереди данных!
,,Нам насыпали лицензий для очереди данных!,"висят задачи в очереди что у меня что у коллеги. Агенты свободны. Вроде уже и перезапускал и новые очереди делал и все лицензии добавлял, но нет.... 🤷‍♂️"
,,,"На завтра снова пробуем пару роботов через очереди данных
На завтра то же задание по PIX Master"
,,"На завтра снова пробуем пару роботов через очереди данных
На завтра то же задание по PIX Master",Аналогично с очередями затык)) что делаю не так не пойму. И выбирал все лицензии и с пустым полем. Добавляются но не выполняются.
,,,"А по какой причине удалили всё, что я делал вчера в PIX Master?"
,,"А по какой причине удалили всё, что я делал вчера в PIX Master?","полагаю, это автоматом зачистка происходит"
,"А по какой причине удалили всё, что я делал вчера в PIX Master?","полагаю, это автоматом зачистка происходит","наверное обновили лицензии,о которых вчера говорили"
"А по какой причине удалили всё, что я делал вчера в PIX Master?","полагаю, это автоматом зачистка происходит","наверное обновили лицензии,о которых вчера говорили","мне кажется, было бы странно, если бы при обновлении лицензий данные удалялись бы...."
"полагаю, это автоматом зачистка происходит","наверное обновили лицензии,о которых вчера говорили","мне кажется, было бы странно, если бы при обновлении лицензий данные удалялись бы....","Значит тьё-то вредительство, наверное, за мои лишние вопросы на трансляции😳"
,,,может лог найти и посмотреть?
,,может лог найти и посмотреть?,"конечно, можно..."
,может лог найти и посмотреть?,"конечно, можно...",не нашёл
,,,Нужно чтобы наставник связался с командой поддержки и выяснил какие работы проводили.
,,Нужно чтобы наставник связался с командой поддержки и выяснил какие работы проводили.,"действительно, нужно уточнить у наставников, чего гадать-то 😃"
,Нужно чтобы наставник связался с командой поддержки и выяснил какие работы проводили.,"действительно, нужно уточнить у наставников, чего гадать-то 😃",Похоже пользователей перебор)))) в мастере.
Нужно чтобы наставник связался с командой поддержки и выяснил какие работы проводили.,"действительно, нужно уточнить у наставников, чего гадать-то 😃",Похоже пользователей перебор)))) в мастере.,Агента создал вновь. Проекты чудесным образом сами появились. Задача и процесс исчезли совсем. Данные на месте
,,,"мои проекты, как я понял не удалялись, а вот задачи и агент был удален"
,,"мои проекты, как я понял не удалялись, а вот задачи и агент был удален",А ты задавал вопросы на трансляции?😅
,,,"процесс тоже удален
да, но, я думаю это не связано...
когда я зашел сегодня в Мастер, там было удалено большинство агентов и задач, по сравнению со вчерашним вечером"
,,"процесс тоже удален
да, но, я думаю это не связано...
когда я зашел сегодня в Мастер, там было удалено большинство агентов и задач, по сравнению со вчерашним вечером","ок, работаем дальше🥸"
,"процесс тоже удален
да, но, я думаю это не связано...
когда я зашел сегодня в Мастер, там было удалено большинство агентов и задач, по сравнению со вчерашним вечером","ок, работаем дальше🥸",Проверьте
,,,Я удалил часть агентов и задач
,,Я удалил часть агентов и задач,"а то я думаю странно, если задачи и агенты без группы тогда их видят все, сейчас группу сделаю обратно, Study 07/23"
,,,"Удалял устаревшие, мог задеть недавние"
,,"Удалял устаревшие, мог задеть недавние","да, моих задач нет, процесса нет и планировщик исчез
но ничего страшного, создам заново"
,"Удалял устаревшие, мог задеть недавние","да, моих задач нет, процесса нет и планировщик исчез
но ничего страшного, создам заново","при создании чего либо и добавлении выбирайте группу Study07/23 так сразу будет понятно что это активности нынешнего потока
только Admin не выбирайте, а то видеть не будете что сделали)"
"Удалял устаревшие, мог задеть недавние","да, моих задач нет, процесса нет и планировщик исчез
но ничего страшного, создам заново","при создании чего либо и добавлении выбирайте группу Study07/23 так сразу будет понятно что это активности нынешнего потока
только Admin не выбирайте, а то видеть не будете что сделали)","висят задачи в очереди что у меня что у коллеги. Агенты свободны. Вроде уже и перезапускал и новые очереди делал и все лицензии добавлял, но нет.... 🤷‍♂️
Новых: 2
В обработке: 0
как новые задачи затолкнуть в обработку?"
"да, моих задач нет, процесса нет и планировщик исчез
но ничего страшного, создам заново","при создании чего либо и добавлении выбирайте группу Study07/23 так сразу будет понятно что это активности нынешнего потока
только Admin не выбирайте, а то видеть не будете что сделали)","висят задачи в очереди что у меня что у коллеги. Агенты свободны. Вроде уже и перезапускал и новые очереди делал и все лицензии добавлял, но нет.... 🤷‍♂️
Новых: 2
В обработке: 0
как новые задачи затолкнуть в обработку?","Кто может подсказать про очереди даннах в Мастере, го в хелпрум1 😄"
,,,"процесс не может поместить элемент в очередь данных. 
Ошибка: 
An unexpected error occurred invoking 'PushElementToQueueExtendedV2' on the server. Exception: Access to the queue is not authorized
Кто сталкивался и преодолел?"
,,"процесс не может поместить элемент в очередь данных. 
Ошибка: 
An unexpected error occurred invoking 'PushElementToQueueExtendedV2' on the server. Exception: Access to the queue is not authorized
Кто сталкивался и преодолел?",хотя из студии элемент добавляется успешно
,"процесс не может поместить элемент в очередь данных. 
Ошибка: 
An unexpected error occurred invoking 'PushElementToQueueExtendedV2' on the server. Exception: Access to the queue is not authorized
Кто сталкивался и преодолел?",хотя из студии элемент добавляется успешно,"В общем, причиной назначили недостаточный уровень лицензии 🫠"
"процесс не может поместить элемент в очередь данных. 
Ошибка: 
An unexpected error occurred invoking 'PushElementToQueueExtendedV2' on the server. Exception: Access to the queue is not authorized
Кто сталкивался и преодолел?",хотя из студии элемент добавляется успешно,"В общем, причиной назначили недостаточный уровень лицензии 🫠",скорее так - Мастер Триал версия😁
хотя из студии элемент добавляется успешно,"В общем, причиной назначили недостаточный уровень лицензии 🫠",скорее так - Мастер Триал версия😁,"Или так: ""Хозяин"" - барин!😁"
,,,"Я поместил обращение к очереди в скриптах в TRY и выяснил, что при запуске вручную скрипта в студии, обращение к очереди нормально отрабатываются."
,,"Я поместил обращение к очереди в скриптах в TRY и выяснил, что при запуске вручную скрипта в студии, обращение к очереди нормально отрабатываются.",подтверждает версию Триала Мастера👍
,,,"Метод получения каталога запуска скрипта для использования внутри скрипта, если нужно:
Directory.GetCurrentDirectory()"
,,"Метод получения каталога запуска скрипта для использования внутри скрипта, если нужно:
Directory.GetCurrentDirectory()",По моему он не работает
,,,сработал норм
,,сработал норм,+1
,сработал норм,+1,"Через браузер имею ввиду
доигрались)))"
сработал норм,+1,"Через браузер имею ввиду
доигрались)))",заработал
,,,у меня одного упал сайт по мастеру?
,,у меня одного упал сайт по мастеру?,Тоже не открывается
,,,"Неть, он упал"
,,"Неть, он упал","второй раз за вечер, он устал 😄"
,"Неть, он упал","второй раз за вечер, он устал 😄",эт я села поработать 😂
"Неть, он упал","второй раз за вечер, он устал 😄",эт я села поработать 😂,"ну ч хотя бы успел практикум дописать по нему
и потом он упал
:)"
"второй раз за вечер, он устал 😄",эт я села поработать 😂,"ну ч хотя бы успел практикум дописать по нему
и потом он упал
:)",он поднялся
,,,"Что делать тем, у кого превышен лимит на скачивание?"
,,"Что делать тем, у кого превышен лимит на скачивание?",как вариант - попросить кого-то скачать и передать вам на флэшке
,,,себе на диск и оттуда скачивать
,,,"Кому интересно поговорить про сценарный подход к 6му заданию, подключайтесь к звонку в дискорде (канал  Conference Hall) завтра, в субботу, 22го июля, в 16:00 (по мск). Ориентировочно, на пол-часа."
,,"Кому интересно поговорить про сценарный подход к 6му заданию, подключайтесь к звонку в дискорде (канал  Conference Hall) завтра, в субботу, 22го июля, в 16:00 (по мск). Ориентировочно, на пол-часа.","У кого есть хотя бы небольшая база и хотите прокачаться, я бы на вашем месте обязательно пришел😉"
,,,DisableUnsafeActionProtection=.*
,,DisableUnsafeActionProtection=.*,https://infostart.ru/1c/articles/693932/
,,,"Задание на понедельник - доделать робота на PIX + его миграцию в Primo.
Для Преподавателей и у кого Примо не тянет - Практикумы, аналитика.
(Педагогический состав с послаблениями, Остальные - работаем)
Вариант релевантной ДАР документации - PDD, Шаблон и Пример заполнения."
,,"Задание на понедельник - доделать робота на PIX + его миграцию в Primo.
Для Преподавателей и у кого Примо не тянет - Практикумы, аналитика.
(Педагогический состав с послаблениями, Остальные - работаем)
Вариант релевантной ДАР документации - PDD, Шаблон и Пример заполнения.",ПОЛУЧИЛОСЬ! Код 1с работает!
,"Задание на понедельник - доделать робота на PIX + его миграцию в Primo.
Для Преподавателей и у кого Примо не тянет - Практикумы, аналитика.
(Педагогический состав с послаблениями, Остальные - работаем)
Вариант релевантной ДАР документации - PDD, Шаблон и Пример заполнения.",ПОЛУЧИЛОСЬ! Код 1с работает!,Это в справочник данные добавляет
"Задание на понедельник - доделать робота на PIX + его миграцию в Primo.
Для Преподавателей и у кого Примо не тянет - Практикумы, аналитика.
(Педагогический состав с послаблениями, Остальные - работаем)
Вариант релевантной ДАР документации - PDD, Шаблон и Пример заполнения.",ПОЛУЧИЛОСЬ! Код 1с работает!,Это в справочник данные добавляет,"кто знает как в ПИРИМЕ Enter нажать, нашёл вот это но там нет кнопки Enter."
ПОЛУЧИЛОСЬ! Код 1с работает!,Это в справочник данные добавляет,"кто знает как в ПИРИМЕ Enter нажать, нашёл вот это но там нет кнопки Enter.",Владимир попробуйте так
Это в справочник данные добавляет,"кто знает как в ПИРИМЕ Enter нажать, нашёл вот это но там нет кнопки Enter.",Владимир попробуйте так,Эмуляция спецкнопки)))) 🤪 СПС!
"кто знает как в ПИРИМЕ Enter нажать, нашёл вот это но там нет кнопки Enter.",Владимир попробуйте так,Эмуляция спецкнопки)))) 🤪 СПС!,"Поместил в папке дискорда ""роботы"" рабочий вариант сценарного подхода по 6му заданию в PIX, который обсуждали в субботу на звонке. В архиве есть видео работы скрипта."
,,,"Доброе утро!
Может кто подскажет, как в PIX подключиться к БД SQLite? Использую активность SQL ""Создать подключение к БД"", провайдера 

""System.Data.OleDb"" 

и строку соединения 
@""Provider=SQLOLEDB; Data Source=my.db; Trusted_Connection=yes;"", 
на которую транслятор студии уже не ругается. При запуске выдает такое:

[DBNETLIB][ConnectionOpen (Connect()).]SQL Server не существует, или доступ запрещен.

Так в SQLite сервер не нужен, она бессерверная. Вообще можно ли в PIX с SQLite работать? - среди примеров СУБД в Базе Знаний ее не было."
,,"Доброе утро!
Может кто подскажет, как в PIX подключиться к БД SQLite? Использую активность SQL ""Создать подключение к БД"", провайдера 

""System.Data.OleDb"" 

и строку соединения 
@""Provider=SQLOLEDB; Data Source=my.db; Trusted_Connection=yes;"", 
на которую транслятор студии уже не ругается. При запуске выдает такое:

[DBNETLIB][ConnectionOpen (Connect()).]SQL Server не существует, или доступ запрещен.

Так в SQLite сервер не нужен, она бессерверная. Вообще можно ли в PIX с SQLite работать? - среди примеров СУБД в Базе Знаний ее не было.","Доброго.
Строка соединения:
@""DRIVER=SQLite3 ODBC Driver;Database=pathToYour\db.db;LongNames=0;Timeout=1000;NoTXN=0;SyncPragma=NORMAL;StepAPI=0;""

Провайдер:
""System.Data.Odbc"""
,,,Какой сервер и порт может используется SQLite&
,,Какой сервер и порт может используется SQLite&,"Последние три параметра не знаю нужны или нет и за что отвечают в строке соединения - это копипаста из интернетов, которая работает, поэтому не трогаю."
,Какой сервер и порт может используется SQLite&,"Последние три параметра не знаю нужны или нет и за что отвечают в строке соединения - это копипаста из интернетов, которая работает, поэтому не трогаю.","эх, не хочет:

ERROR [IM002] [Microsoft][Диспетчер драйверов ODBC] Источник данных не найден и не указан драйвер, используемый по умолчанию"
,,,Я с этим провайдером смотрел. Не хочет что-то
,,Я с этим провайдером смотрел. Не хочет что-то,"ODBC драйвер устанавливали? Я чуть выше привел ссылку, откуда брал себе."
,,,"потому выбрал другого провайдера
Наверное, нужно его установить и зарегистрировать. Видимо, система моя его не видит
Попробую. Спасибо!!
Все отлично - проглотил! СПАСИБО, Денис"
,,"потому выбрал другого провайдера
Наверное, нужно его установить и зарегистрировать. Видимо, система моя его не видит
Попробую. Спасибо!!
Все отлично - проглотил! СПАСИБО, Денис","Всем привет! Кто-нибудь может у себя в примо попробовать регулярку:
@""(?<docName>^[\S\s]+)\s+№[ ]*(?<docNum>[\d]+)[ ]*от[ ]*(?<docDate>\d{2}\.\d{2}\.\d{4})([\S\s]+)?Но[\S\s]+7 8\n((?<num>\b\d+\b) (?<goodsName1>[\W\w ]+?) (?<unit>\b\w+\b) (?<quantity>[\d]{1}) (?<price>\b[\d  ]*,\d{2}\b) (?<summa>\b[\d  ]*,\d{2}\b)(?<tax>\b[\d  ]*,\d{2}\b) (?<sumTax>\b[\d  ]*,\d{2}\b)\n)+Всего к[\S\s]+Исполнитель[\S\s](?<companyName1>[\S\s]+)\nИНН[ ]*(?<inn>[\d]+) КПП[\S\s]+Адрес""

не соображу, почему не работает.
На regex101 замечательно отрабатывает.
это к актам из 2-го и 6-го заданий регулярка, вытягивает все данные
текст для этой регулярки"
,,,"Привет.
У меня в PIX результат False."
,,"Привет.
У меня в PIX результат False.","Я исправил сообщение... В PIX другое выражение, просьба проверить в примо, если есть возможность"
,,,"видимо, где-то лежит кусок гранита, который мы еще не грызли, где-то спрятано сакральное знание о примо, получив которое, у нас все заработает 🥹"
,,,"еще не до шел до этого, сейчас проверю )"
,,"еще не до шел до этого, сейчас проверю )","я не то делал, есть активность запустить процесс, с ним работает :)))"
,,,В Primo тоже результат работы регулярки тоже негативный
,,,как и у меня. Хотя  в отладчике твоя строка проходит проверку нормально
,,как и у меня. Хотя  в отладчике твоя строка проходит проверку нормально,спасибо за проверку! 👍
,,,"Я нашел решение проблемы - в PRIMO текcт распознается так, что переводу строки соответствует не один символ \n, а два - \r\n
Т.ч. достаточно удалить в тексте все символы \r и все заработает:
Regex.Replace(text ,@""[\r]"",@"""")"
,,"Я нашел решение проблемы - в PRIMO текcт распознается так, что переводу строки соответствует не один символ \n, а два - \r\n
Т.ч. достаточно удалить в тексте все символы \r и все заработает:
Regex.Replace(text ,@""[\r]"",@"""")","или, как предложил мне Денис Головкин добавить \r? перед каждым \n"
,,,сейчас попробую
,,,"Подскажите кто как делал в примо взаимодействие с 1С? Я запустил 1С через активность ""Запустить приложение"", но не пойму как теперь переменную в которой хранится результат запуска связать с активностью ""Присоединиться к приложению"", так как там разные типы данных"
,,"Подскажите кто как делал в примо взаимодействие с 1С? Я запустил 1С через активность ""Запустить приложение"", но не пойму как теперь переменную в которой хранится результат запуска связать с активностью ""Присоединиться к приложению"", так как там разные типы данных",можно указать заголовок приложения просто
,,,это в свойствах элемента Присоединиться к приложению
,,,я делал через  активность командная строка в нее вставляешь ссылку до exe файла и получается открывается как в pix дальше кнопками тыкал))))
,,я делал через  активность командная строка в нее вставляешь ссылку до exe файла и получается открывается как в pix дальше кнопками тыкал)))),У меня так не запустил почему-то 😐
,я делал через  активность командная строка в нее вставляешь ссылку до exe файла и получается открывается как в pix дальше кнопками тыкал)))),У меня так не запустил почему-то 😐,Вы к приложению которое в папке 1сevx ссылку делали?
я делал через  активность командная строка в нее вставляешь ссылку до exe файла и получается открывается как в pix дальше кнопками тыкал)))),У меня так не запустил почему-то 😐,Вы к приложению которое в папке 1сevx ссылку делали?,C:\Program Files (x86)\1cv8t\common\1cestartt.exe
,,,Спасибо! сейчас попробую
,,Спасибо! сейчас попробую,"Там какое то такое название, точно не помню"
,,,"Ребята, работа с 1С:  скрипт и подробное описание"
,,"Ребята, работа с 1С:  скрипт и подробное описание","Анастасия, спасибо огромное!!!👏🏻"
,,,"Активность ""Выполнить код 1С"""
,,"Активность ""Выполнить код 1С""",Cпасибо! С пиксом проблем не возникло 😁
,,,да у меня по этому же пути и работает.
,,да у меня по этому же пути и работает.,"Да, ч тоже по нему делал, работало"
,,,на командной строке винды тестил?
,,,только что проверил - запускается
,,только что проверил - запускается,"в тройные ковычки путь оберни @""""""jvnkjvbkdbvfkdbf"""""""
,только что проверил - запускается,"в тройные ковычки путь оберни @""""""jvnkjvbkdbvfkdbf""""""",помогло. спасибо!
,,,кто нибудь знает как прописать комбинаци. CONTROL + ENTER в primo?
,,кто нибудь знает как прописать комбинаци. CONTROL + ENTER в primo?,указать модификатор CONTROL
,кто нибудь знает как прописать комбинаци. CONTROL + ENTER в primo?,указать модификатор CONTROL,"а спецкнопка ""{ENTER}""?
а
понял, попробую
не работает почему то
как обычный ENTER читает"
кто нибудь знает как прописать комбинаци. CONTROL + ENTER в primo?,указать модификатор CONTROL,"а спецкнопка ""{ENTER}""?
а
понял, попробую
не работает почему то
как обычный ENTER читает",может быть так
указать модификатор CONTROL,"а спецкнопка ""{ENTER}""?
а
понял, попробую
не работает почему то
как обычный ENTER читает",может быть так,"спасибо, попробую
у вас работает?"
"а спецкнопка ""{ENTER}""?
а
понял, попробую
не работает почему то
как обычный ENTER читает",может быть так,"спасибо, попробую
у вас работает?","я еще не дошел до этого шага, но аналогичные сочетания так делал"
может быть так,"спасибо, попробую
у вас работает?","я еще не дошел до этого шага, но аналогичные сочетания так делал",тоже не работает(
"спасибо, попробую
у вас работает?","я еще не дошел до этого шага, но аналогичные сочетания так делал",тоже не работает(,"после встречи проверю у себя оба варианта, а то сейчас не тянет"
"я еще не дошел до этого шага, но аналогичные сочетания так делал",тоже не работает(,"после встречи проверю у себя оба варианта, а то сейчас не тянет",Не открывается страница 'Импортировать  контрагентов' в моем аккаунте. Только у меня это?
тоже не работает(,"после встречи проверю у себя оба варианта, а то сейчас не тянет",Не открывается страница 'Импортировать  контрагентов' в моем аккаунте. Только у меня это?,загружается
"после встречи проверю у себя оба варианта, а то сейчас не тянет",Не открывается страница 'Импортировать  контрагентов' в моем аккаунте. Только у меня это?,загружается,спасибо
,,,попытался выполнить дефолтный запрос через сам битрикс вылетает это. Кто нибудь знает в чем проблема?
,,попытался выполнить дефолтный запрос через сам битрикс вылетает это. Кто нибудь знает в чем проблема?,"Привет!
Только что у себя попробовал - работает"
,,,В url нужно прописать https
,,В url нужно прописать https,не идет почему то
,,,можете запрос заскринить
,,можете запрос заскринить,
,,,url
,,,"попробуй Урл просто в браузере открыть , поправив запрос с http на https"
,,"попробуй Урл просто в браузере открыть , поправив запрос с http на https",а так работает
,,,"ну тогда не заморачивайся, сразу реализовывай https запрос в пиксе с сформированным урлом"
,,"ну тогда не заморачивайся, сразу реализовывай https запрос в пиксе с сформированным урлом",только он не добавляет)
,,,"видимо, формат lids не совпадает
полей"
,,"видимо, формат lids не совпадает
полей",ошибки нет дата прилетает но действия нет
,"видимо, формат lids не совпадает
полей",ошибки нет дата прилетает но действия нет,"состав и формат полей для лидса видимо, нужен иной
я тоже в процессе пока )"
"видимо, формат lids не совпадает
полей",ошибки нет дата прилетает но действия нет,"состав и формат полей для лидса видимо, нужен иной
я тоже в процессе пока )",так это дефолтный запрос для контактов
ошибки нет дата прилетает но действия нет,"состав и формат полей для лидса видимо, нужен иной
я тоже в процессе пока )",так это дефолтный запрос для контактов,на странице со списком лидов есть ручной ввод - там можно поля подсмотреть
"состав и формат полей для лидса видимо, нужен иной
я тоже в процессе пока )",так это дефолтный запрос для контактов,на странице со списком лидов есть ручной ввод - там можно поля подсмотреть,я его через урл ввел дата прилетела и json но контакт новый не добавился
так это дефолтный запрос для контактов,на странице со списком лидов есть ручной ввод - там можно поля подсмотреть,я его через урл ввел дата прилетела и json но контакт новый не добавился,"видимо, эти поля нужны
а не как в примере"
на странице со списком лидов есть ручной ввод - там можно поля подсмотреть,я его через урл ввел дата прилетела и json но контакт новый не добавился,"видимо, эти поля нужны
а не как в примере","добавлять лиды надо же, а не контакты, если я правильно понимаю"
я его через урл ввел дата прилетела и json но контакт новый не добавился,"видимо, эти поля нужны
а не как в примере","добавлять лиды надо же, а не контакты, если я правильно понимаю","да, это для лидов, а у меня то запрос для контактов
да, но у меня запрсы не работают и я решил дефолтный для контактов чекнуть а он не работает
c http так
а с https так"
"видимо, эти поля нужны
а не как в примере","добавлять лиды надо же, а не контакты, если я правильно понимаю","да, это для лидов, а у меня то запрос для контактов
да, но у меня запрсы не работают и я решил дефолтный для контактов чекнуть а он не работает
c http так
а с https так",описание полей лидов
"добавлять лиды надо же, а не контакты, если я правильно понимаю","да, это для лидов, а у меня то запрос для контактов
да, но у меня запрсы не работают и я решил дефолтный для контактов чекнуть а он не работает
c http так
а с https так",описание полей лидов,"а вот с лидами через https работает
через строку браузера
странная штука"
"да, это для лидов, а у меня то запрос для контактов
да, но у меня запрсы не работают и я решил дефолтный для контактов чекнуть а он не работает
c http так
а с https так",описание полей лидов,"а вот с лидами через https работает
через строку браузера
странная штука",пример добавления контакта через https в адресной строке отрабатывает без проблем
описание полей лидов,"а вот с лидами через https работает
через строку браузера
странная штука",пример добавления контакта через https в адресной строке отрабатывает без проблем,"Подскажите, что не так делаю.
в пиксе на любой запрос приходит 
{""error"":""INVALID_CREDENTIALS"",""error_description"":""Invalid request credentials""}"
"а вот с лидами через https работает
через строку браузера
странная штука",пример добавления контакта через https в адресной строке отрабатывает без проблем,"Подскажите, что не так делаю.
в пиксе на любой запрос приходит 
{""error"":""INVALID_CREDENTIALS"",""error_description"":""Invalid request credentials""}","Скорее всего дело как раз в полях
Добавляете то что не предусмотрено
По описанию так"
